#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
81        	5         	ok              	2.6410000000e-04	2.9000000000e+02	1.3730108813e+16	6.5960916331e+15	5.6269162827e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	5         	ok              	2.3850000000e-04	2.9000000000e+02	1.2393195663e+16	5.9567128152e+15	5.6241876036e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	5         	ok              	2.1540000000e-04	2.9000000000e+02	1.1187394060e+16	5.3797733350e+15	5.6214468988e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	5         	ok              	1.9460000000e-04	2.9000000000e+02	1.0102198828e+16	4.8602780455e+15	5.6187272638e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	5         	ok              	1.7580000000e-04	2.9000000000e+02	9.1218814354e+15	4.3907342261e+15	5.6160430470e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	5         	ok              	1.5880000000e-04	2.9000000000e+02	8.2359315114e+15	3.9661467298e+15	5.6134143944e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	5         	ok              	1.4340000000e-04	2.9000000000e+02	7.4338416261e+15	3.5815204097e+15	5.6108547828e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	5         	ok              	1.2960000000e-04	2.9000000000e+02	6.7155198175e+15	3.2368552656e+15	5.6084068229e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	5         	ok              	1.1700000000e-04	2.9000000000e+02	6.0600595558e+15	2.9221610037e+15	5.6060363043e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	5         	ok              	1.0570000000e-04	2.9000000000e+02	5.4725821688e+15	2.6399351974e+15	5.6037942216e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
