# WL(nm)	 Flux(ergs/cm**2/s/nm)
77.900000	 6.79E+01
78.000000	 6.79E+01
78.100000	 6.79E+01
78.200000	 6.79E+01
78.300000	 6.79E+01
78.400000	 6.79E+01
78.500000	 6.79E+01
78.600000	 6.79E+01
78.700000	 6.79E+01
78.800000	 6.79E+01
78.900000	 6.79E+01
79.000000	 6.79E+01
79.100000	 6.79E+01
79.200000	 6.79E+01
79.300000	 6.79E+01
79.400000	 6.79E+01
79.500000	 6.79E+01
79.600000	 6.79E+01
79.700000	 6.79E+01
79.800000	 6.79E+01
79.900000	 6.79E+01
80.000000	 6.79E+01
80.100000	 6.79E+01
80.200000	 6.79E+01
80.300000	 7.36E+01
80.400000	 7.94E+01
80.500000	 7.94E+01
80.600000	 7.94E+01
80.700000	 7.94E+01
80.800000	 7.94E+01
80.900000	 7.94E+01
81.000000	 7.94E+01
81.100000	 7.94E+01
81.200000	 7.94E+01
81.300000	 7.94E+01
81.400000	 7.94E+01
81.500000	 7.94E+01
81.600000	 7.94E+01
81.700000	 7.94E+01
81.800000	 7.94E+01
81.900000	 7.94E+01
82.000000	 7.94E+01
82.100000	 7.94E+01
82.200000	 7.94E+01
82.300000	 7.94E+01
82.400000	 7.94E+01
82.500000	 7.94E+01
82.600000	 7.94E+01
82.700000	 7.94E+01
82.800000	 7.94E+01
82.900000	 7.94E+01
83.000000	 7.94E+01
83.100000	 7.94E+01
83.200000	 7.94E+01
83.300000	 7.94E+01
83.400000	 7.94E+01
83.500000	 7.94E+01
83.600000	 7.94E+01
83.700000	 7.94E+01
83.800000	 7.94E+01
83.900000	 7.94E+01
84.000000	 7.94E+01
84.100000	 7.94E+01
84.200000	 7.94E+01
84.300000	 7.94E+01
84.400000	 7.94E+01
84.500000	 7.94E+01
84.600000	 7.94E+01
84.700000	 7.94E+01
84.800000	 7.94E+01
84.900000	 7.94E+01
85.000000	 7.94E+01
85.100000	 7.94E+01
85.200000	 7.94E+01
85.300000	 7.94E+01
85.400000	 7.94E+01
85.500000	 7.94E+01
85.600000	 7.94E+01
85.700000	 7.94E+01
85.800000	 7.94E+01
85.900000	 7.94E+01
86.000000	 7.94E+01
86.100000	 7.94E+01
86.200000	 7.94E+01
86.300000	 7.94E+01
86.400000	 7.94E+01
86.500000	 7.94E+01
86.600000	 7.94E+01
86.700000	 7.94E+01
86.800000	 7.94E+01
86.900000	 7.94E+01
87.000000	 7.94E+01
87.100000	 7.94E+01
87.200000	 7.94E+01
87.300000	 7.94E+01
87.400000	 7.94E+01
87.500000	 7.94E+01
87.600000	 7.94E+01
87.700000	 7.94E+01
87.800000	 7.94E+01
87.900000	 7.94E+01
88.000000	 7.94E+01
88.100000	 7.94E+01
88.200000	 7.94E+01
88.300000	 7.94E+01
88.400000	 7.94E+01
88.500000	 7.94E+01
88.600000	 7.94E+01
88.700000	 7.94E+01
88.800000	 7.94E+01
88.900000	 7.94E+01
89.000000	 7.94E+01
89.100000	 7.94E+01
89.200000	 7.94E+01
89.300000	 7.94E+01
89.400000	 7.94E+01
89.500000	 7.94E+01
89.600000	 7.94E+01
89.700000	 7.94E+01
89.800000	 7.94E+01
89.900000	 7.94E+01
90.000000	 7.94E+01
90.100000	 7.94E+01
90.200000	 7.94E+01
90.300000	 7.94E+01
90.400000	 7.94E+01
90.500000	 7.94E+01
90.600000	 7.94E+01
90.700000	 7.94E+01
90.800000	 7.94E+01
90.900000	 7.94E+01
91.000000	 7.94E+01
91.100000	 7.94E+01
91.200000	 7.94E+01
91.300000	 7.94E+01
91.400000	 7.94E+01
91.500000	 7.94E+01
91.600000	 7.94E+01
91.700000	 7.94E+01
91.800000	 7.94E+01
91.900000	 7.94E+01
92.000000	 7.94E+01
92.100000	 7.94E+01
92.200000	 7.94E+01
92.300000	 7.94E+01
92.400000	 7.94E+01
92.500000	 7.94E+01
92.600000	 7.94E+01
92.700000	 7.94E+01
92.800000	 7.94E+01
92.900000	 7.94E+01
93.000000	 7.94E+01
93.100000	 7.94E+01
93.200000	 7.94E+01
93.300000	 7.94E+01
93.400000	 7.94E+01
93.500000	 7.94E+01
93.600000	 7.94E+01
93.700000	 7.94E+01
93.800000	 7.94E+01
93.900000	 7.94E+01
94.000000	 7.94E+01
94.100000	 7.94E+01
94.200000	 7.94E+01
94.300000	 7.94E+01
94.400000	 7.94E+01
94.500000	 7.94E+01
94.600000	 7.94E+01
94.700000	 7.94E+01
94.800000	 7.94E+01
