# WL(nm)	 Flux(ergs/cm**2/s/nm)
58.549944	 1.56E+02
58.649944	 1.56E+02
58.749944	 1.56E+02
58.849944	 1.56E+02
58.949944	 1.56E+02
59.049944	 1.56E+02
59.149944	 1.56E+02
59.249944	 1.56E+02
59.349944	 1.56E+02
59.449944	 1.56E+02
59.549944	 1.56E+02
59.649944	 1.56E+02
59.749944	 1.56E+02
59.849944	 1.56E+02
59.949944	 1.56E+02
60.049944	 2.46E+02
60.149944	 2.46E+02
60.249944	 2.46E+02
60.349944	 2.46E+02
60.449944	 2.46E+02
60.549944	 2.46E+02
60.649944	 2.46E+02
60.749944	 2.46E+02
60.849944	 2.46E+02
60.949944	 2.46E+02
61.049944	 2.46E+02
61.149944	 2.46E+02
61.249944	 2.46E+02
61.349944	 2.46E+02
61.449944	 2.46E+02
61.549944	 2.46E+02
61.649944	 2.46E+02
61.749944	 2.46E+02
61.849944	 2.46E+02
61.949944	 2.46E+02
62.049944	 2.46E+02
62.149944	 2.46E+02
62.249944	 2.46E+02
62.349944	 2.46E+02
62.449944	 2.46E+02
62.549944	 2.46E+02
62.649944	 2.46E+02
62.749944	 2.46E+02
62.849944	 2.46E+02
62.949944	 2.46E+02
63.049944	 2.46E+02
63.149944	 2.46E+02
63.249944	 2.46E+02
63.349944	 2.46E+02
63.449944	 2.46E+02
63.549944	 2.46E+02
63.649944	 2.46E+02
63.749944	 2.46E+02
63.849944	 2.46E+02
63.949944	 2.46E+02
64.049944	 2.46E+02
64.149944	 2.46E+02
64.249944	 2.46E+02
64.349944	 2.46E+02
64.449944	 2.46E+02
64.549944	 2.46E+02
64.649944	 2.46E+02
64.749944	 2.46E+02
64.849944	 2.46E+02
64.949944	 2.46E+02
65.049944	 2.46E+02
65.149944	 2.46E+02
65.249944	 2.46E+02
65.349944	 2.46E+02
65.449944	 2.46E+02
65.549944	 2.46E+02
65.649944	 2.46E+02
65.749944	 2.46E+02
65.849944	 2.46E+02
65.949944	 2.46E+02
66.049944	 2.46E+02
66.149944	 2.46E+02
66.249944	 2.46E+02
66.349944	 2.46E+02
66.449944	 2.46E+02
66.549944	 2.46E+02
66.649944	 2.46E+02
66.749944	 2.46E+02
