Wavelength (nm)	Flux (ergs/cm^2/s/nm)
101.75	256.169
101.85	256.169
101.95	256.169
102.05	256.169
102.15	256.169
102.25	256.169
102.35	256.169
102.45	256.169
102.55	256.169
102.65	256.169
102.75	256.169
102.85	256.169
102.95	256.169
103.05	256.169
103.15	256.169
103.25	256.169
103.35	256.169
103.45	256.169
103.55	256.169
103.65	256.169
103.75	256.169
103.85	256.169
103.95	256.169
104.05	256.169
104.15	256.169
104.25	256.169
104.35	256.169
104.45	256.169
104.55	256.169
104.65	256.169
104.75	256.169
104.85	256.169
104.95	256.169
105.05000000000001	256.169
105.14999999999999	256.169
105.25	256.169
105.35	256.169
105.45	256.169
105.55000000000001	256.169
105.64999999999999	256.169
105.75	256.169
105.85	256.169
105.95	256.169
106.05000000000001	256.169
106.14999999999999	256.169
106.25	256.169
106.35	256.169
106.45	256.169
106.55000000000001	256.169
106.64999999999999	256.169
106.75	256.169
106.85	256.169
106.95	256.169
107.05000000000001	256.169
107.14999999999999	256.169
107.25	256.169
107.35	256.169
107.45	256.169
107.55000000000001	256.169
107.64999999999999	256.169
107.75	256.169
107.85	256.169
107.95	256.169
108.05	256.169
108.14999999999999	256.169
108.25	256.169
108.35000000000001	256.169
108.45	256.169
108.55	256.169
108.64999999999999	256.169
108.75	256.169
108.85000000000001	256.169
108.95	256.169
109.05	256.169
109.14999999999999	256.169
109.25	256.169
109.35000000000001	256.169
109.45	256.169
109.55	256.169
109.64999999999999	256.169
109.75	256.169
109.85000000000001	256.169
109.95	256.169
110.05	256.169
110.14999999999999	256.169
110.25	256.169
110.35000000000001	256.169
110.45	256.169
110.55	256.169
110.64999999999999	256.169
110.75	256.169
110.85000000000001	256.169
110.94999999999999	256.169
111.05	256.169
111.15	256.169
111.25	256.169
111.35000000000001	256.169
111.44999999999999	256.169
111.55	256.169
111.65	256.169
111.75	256.169
111.85000000000001	256.169
111.94999999999999	256.169
112.05	256.169
112.15	256.169
112.25	256.169
112.35000000000001	256.169
112.44999999999999	256.169
112.55	256.169
112.65	256.169
112.75	256.169
112.85000000000001	256.169
112.94999999999999	256.169
113.05	256.169
113.15	256.169
113.25	256.169
113.35000000000001	256.169
113.44999999999999	256.169
113.55	256.169
113.65	256.169
113.75	256.169
113.85000000000001	256.169
113.94999999999999	256.169
114.05	256.169
114.15	256.169
114.25	256.169
114.35	256.169
114.45	256.169
114.55	256.169
114.65	256.169
114.75	256.169
114.85	256.169
114.95	256.169
115.05	256.169
115.15	256.169
115.25	256.169
115.35	256.169
115.45	256.169
115.55	256.169
115.65	256.169
115.75	256.169
115.85	256.169
115.95	256.169
116.05	256.169
116.15	256.169
116.25	256.169
116.35	256.169
116.45	256.169
116.55	256.169
116.65	256.169
116.75	256.169
116.85	256.169
116.95	255.21
117.05	37.7158
117.15	53.1394
117.25	12.992400000000002
117.35	11.1909
117.45	143.523
117.55	1547.15
117.65	621.079
117.75	23.7725
117.85	25.312800000000003
